
=== Run start: Thu May 28 01:29:24 2026 ===
Student params: 1,230,608
Epoch 1/4 | Step 1125/1784 | Loss 0.4120 | Elapsed 123.1min | ETA 195.1min
Epoch 1/4 | Step 1150/1784 | Loss 0.4205 | Elapsed 125.6min | ETA 194.7min
Epoch 1/4 | Step 1175/1784 | Loss 0.4387 | Elapsed 128.1min | ETA 194.3min
Epoch 1/4 | Step 1200/1784 | Loss 0.4631 | Elapsed 130.6min | ETA 194.0min
Epoch 1/4 | Step 1225/1784 | Loss 0.4971 | Elapsed 133.1min | ETA 193.7min
Epoch 1/4 | Step 1250/1784 | Loss 0.4633 | Elapsed 135.5min | ETA 193.3min
Epoch 1/4 | Step 1275/1784 | Loss 0.4535 | Elapsed 138.0min | ETA 193.0min
Epoch 1/4 | Step 1300/1784 | Loss 0.4530 | Elapsed 140.5min | ETA 192.6min
Epoch 1/4 | Step 1325/1784 | Loss 0.4501 | Elapsed 143.0min | ETA 192.4min
Epoch 1/4 | Step 1350/1784 | Loss 0.4236 | Elapsed 145.5min | ETA 192.1min
Epoch 1/4 | Step 1375/1784 | Loss 0.4826 | Elapsed 148.0min | ETA 191.9min
Epoch 1/4 | Step 1400/1784 | Loss 0.4766 | Elapsed 150.4min | ETA 191.5min
Epoch 1/4 | Step 1425/1784 | Loss 0.4434 | Elapsed 152.9min | ETA 191.3min
Epoch 1/4 | Step 1450/1784 | Loss 0.4104 | Elapsed 155.3min | ETA 191.0min
Epoch 1/4 | Step 1475/1784 | Loss 0.4168 | Elapsed 157.8min | ETA 190.8min
Epoch 1/4 | Step 1500/1784 | Loss 0.4303 | Elapsed 160.4min | ETA 190.6min
Epoch 1/4 | Step 1525/1784 | Loss 0.4292 | Elapsed 162.8min | ETA 190.4min
Epoch 1/4 | Step 1550/1784 | Loss 0.4350 | Elapsed 165.3min | ETA 190.1min
Epoch 1/4 | Step 1575/1784 | Loss 0.4167 | Elapsed 167.8min | ETA 189.9min
Epoch 1/4 | Step 1600/1784 | Loss 0.3846 | Elapsed 170.3min | ETA 189.7min
Epoch 1/4 | Step 1625/1784 | Loss 0.3950 | Elapsed 172.6min | ETA 189.3min
Epoch 1/4 | Step 1650/1784 | Loss 0.4023 | Elapsed 175.0min | ETA 189.2min
Epoch 1/4 | Step 1675/1784 | Loss 0.4220 | Elapsed 177.6min | ETA 189.1min
Epoch 1/4 | Step 1700/1784 | Loss 0.3993 | Elapsed 180.1min | ETA 188.9min
Epoch 1/4 | Step 1725/1784 | Loss 0.3920 | Elapsed 182.8min | ETA 189.0min
Epoch 1/4 | Step 1750/1784 | Loss 0.3736 | Elapsed 185.7min | ETA 189.2min
Epoch 1/4 | Step 1775/1784 | Loss 0.4147 | Elapsed 188.3min | ETA 189.1min

=== Epoch 1 | Avg loss 0.5276 | Skipped 0 batches | Time 189.1min ===
Epoch 2/4 | Step 0/1784 | Loss 0.4230 | Elapsed 0.1min | ETA 167.2min
Epoch 2/4 | Step 25/1784 | Loss 0.3673 | Elapsed 2.6min | ETA 179.2min
Epoch 2/4 | Step 50/1784 | Loss 0.3716 | Elapsed 4.8min | ETA 167.2min
Epoch 2/4 | Step 75/1784 | Loss 0.3967 | Elapsed 6.5min | ETA 153.5min
Epoch 2/4 | Step 100/1784 | Loss 0.3729 | Elapsed 8.3min | ETA 147.1min
Epoch 2/4 | Step 125/1784 | Loss 0.3818 | Elapsed 10.1min | ETA 142.4min
Epoch 2/4 | Step 150/1784 | Loss 0.3971 | Elapsed 11.8min | ETA 139.1min
Epoch 2/4 | Step 175/1784 | Loss 0.3729 | Elapsed 13.5min | ETA 136.9min
Epoch 2/4 | Step 200/1784 | Loss 0.3897 | Elapsed 15.3min | ETA 135.5min
Epoch 2/4 | Step 225/1784 | Loss 0.3844 | Elapsed 17.0min | ETA 134.5min
Epoch 2/4 | Step 250/1784 | Loss 0.3806 | Elapsed 18.8min | ETA 133.6min
Epoch 2/4 | Step 275/1784 | Loss 0.3765 | Elapsed 20.6min | ETA 132.9min
Epoch 2/4 | Step 300/1784 | Loss 0.3666 | Elapsed 22.3min | ETA 132.3min
Epoch 2/4 | Step 325/1784 | Loss 0.3718 | Elapsed 24.1min | ETA 131.7min
Epoch 2/4 | Step 350/1784 | Loss 0.4172 | Elapsed 25.8min | ETA 131.1min
Epoch 2/4 | Step 375/1784 | Loss 0.3802 | Elapsed 27.6min | ETA 130.7min
Epoch 2/4 | Step 400/1784 | Loss 0.4033 | Elapsed 29.3min | ETA 130.4min
